Timestamp,Select your age range:,Select your gender:,Select your race:,"Do you commute to campus, live on campus, or live off campus? (For college students only)",How would you describe the area you currently live?,How often do you compare prices before making a purchase?,Which types of items are you most interested in finding cheaper prices for? (Select all that apply),Which of the following items do you spend the most money on monthly? (select all that apply),Which of the following price comparison methods do you currently use? (Select all that apply),How satisfied are you with your current methods of finding the lowest prices?,How satisfied are you with search engines’ results of locating the closest and cheapest options available to you?,How important is it for you to save money on everyday purchases?,How do you typically shop?,Do you usually prioritize price or convenience when shopping?,"If possible, please list apps you use to find affordable items within your area."
10/18/2024 14:23:33,18-24,Female,Asian or Pacific Islander,Commuter,Suburb,Often,"Groceries, Gasoline, Clothing","Groceries, Gasoline, Entertainment (movies, events, etc..)","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps",3,4,5,A mix of online and in-store,it depends on the item,N/a
10/18/2024 14:24:19,18-24,Female,Hispanic Origin,Commuter,Suburb,Sometimes,"Clothing, Electronics, Health & beauty products, Entertainment (movies, events, etc..)",Gasoline,"In-store price checking, Word of mouth",3,2,5,A mix of online and in-store,it depends on the item,N/a
10/18/2024 16:02:02,18-24,Female,Asian or Pacific Islander,Commuter,Suburb,Always,"Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Groceries, Gasoline, Electronics, Health & beauty products","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps, Price comparison apps",4,3,5,Mostly in-store,it depends on the item,Does Amazon count?
10/18/2024 17:01:36,25-34,Female,White,Not a college student,City,Often,"Groceries, Clothing, Household items, Health & beauty products",Groceries,"Online search engines (e.g., Google Shopping)",4,3,4,A mix of online and in-store,it depends on the item,"No particular apps right now, just google search and compare from there"
10/18/2024 17:05:58,18-24,Female,Hispanic Origin,Commuter,Suburb,Often,"Groceries, Clothing",Clothing,"In-store price checking, Retailer websites/apps",4,4,5,A mix of online and in-store,I prioritize price,N/A
10/18/2024 18:49:16,18-24,Female,White,Commuter,City,Always,"Groceries, Clothing","Groceries, Gasoline",In-store price checking,5,5,5,A mix of online and in-store,it depends on the item,Insta
10/18/2024 18:56:11,18-24,Female,White,Commuter,Rural area,Often,"Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Clothing, Electronics, Health & beauty products, Entertainment (movies, events, etc..)","Online search engines (e.g., Google Shopping), Retailer websites/apps, Price comparison apps",2,3,2,A mix of online and in-store,it depends on the item,eBay 
10/18/2024 18:57:51,18-24,Female,White,Not a college student,Suburb,Sometimes,"Groceries, Gasoline","Groceries, Coffee",In-store price checking,1,1,5,A mix of online and in-store,it depends on the item,I just compare instore
10/18/2024 19:07:36,18-24,Female,Asian or Pacific Islander,Commuter,City,Always,"Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Groceries, Gasoline","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps, Price comparison apps, Word of mouth",2,1,5,A mix of online and in-store,I prioritize price,None
10/18/2024 19:55:02,18-24,Male,Asian or Pacific Islander,Commuter,Suburb,Sometimes,"Gasoline, Clothing, Electronics, Household items, Health & beauty products","Gasoline, Electronics","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps, Price comparison apps",3,4,4,A mix of online and in-store,it depends on the item,Google
10/18/2024 19:55:20,18-24,Male,Asian or Pacific Islander,Off Campus,City,Often,"Clothing, Electronics, Entertainment (movies, events, etc..)","Clothing, Health & beauty products","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps, Word of mouth",4,4,3,A mix of online and in-store,it depends on the item,google
10/18/2024 20:31:27,18-24,Female,Asian or Pacific Islander,Commuter,Suburb,Often,"Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products","Groceries, Gasoline","In-store price checking, Word of mouth",2,2,4,Mostly in-store,it depends on the item,I just use google search and the occasional facebook ad and then rarely WhatsApp communities. 
10/18/2024 21:49:51,35-44,Female,White,Not a college student,Suburb,Always,"Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Groceries, Gasoline","In-store price checking, Online search engines (e.g., Google Shopping), Retailer websites/apps, Price comparison apps, Word of mouth",2,5,5,A mix of online and in-store,it depends on the item,Retailmenot
10/19/2024 0:03:08,18-24,Male,Asian or Pacific Islander,Commuter,Suburb,Rarely,"Groceries, Clothing, Electronics, Entertainment (movies, events, etc..)","Groceries, Electronics, Food (takeout)","Online search engines (e.g., Google Shopping), Word of mouth",2,2,4,Mostly in-store,it depends on the item,"I don’t really use apps to find items because I don’t buy things often, though if a useful one existed I’d want to use it."
10/19/2024 0:05:00,18-24,Male,Hispanic Origin,Commuter,Suburb,Often,"Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Groceries, Gasoline, Clothing, Electronics, Household items, Health & beauty products, Entertainment (movies, events, etc..)","Online search engines (e.g., Google Shopping), Retailer websites/apps, Word of mouth",3,4,5,A mix of online and in-store,it depends on the item,Google 
10/19/2024 1:22:03,18-24,Male,Asian or Pacific Islander,Commuter,Suburb,Always,"Clothing, Household items","Groceries, Clothing","In-store price checking, Retailer websites/apps",3,4,4,A mix of online and in-store,it depends on the item,Safari 
